138,148,-158
171,181,-52
176,110,49
170,-12,50
105,-102,-28
-35,-69,2
-48,130,47
75,219,-5
156,166,-132
125,38,-201
72,-71,-151
90,-44,-175
163,70,-175
169,188,-45
60,153,75
25,18,100
118,-58,45
183,12,51
137,124,75
122,209,-44
55,135,-186
15,11,-194
101,-52,-174
165,29,-175
177,150,-115
109,209,-36
4,180,35
-57,25,50
52,-94,16
155,-11,44
148,106,65
125,187,28
150,193,-79
120,102,-187
131,-14,-180
192,17,-145
187,128,-95
109,203,-17
11,171,50
-41,27,66
32,-84,32
122,-12,71
111,102,90
102,209,11
151,153,-140
123,1,-179
134,-73,-120
181,-42,-110
217,62,-64
160,176,-4
36,171,66
-16,20,83
104,-64,47
176,28,51
144,167,27
153,190,-97
96,51,-205
148,-45,-150
203,14,-126
193,152,-72
105,192,20
65,102,100
92,128,89
158,188,-28
198,42,-126
150,-80,-94
96,-97,-97
55,-79,-145
55,30,-205
88,171,-161
94,206,-23
76,126,89
15,-32,66
-13,19,80
36,116,98
111,193,11
158,165,-116
178,35,-162
140,-73,-118
86,-87,-134
62,-29,-195
85,96,-210
100,200,-101
113,180,35
72,54,112
80,-75,41
17,-68,44
-23,130,64
148,190,1
212,30,-104
140,-78,-108
72,-94,-132
75,-5,-199
85,128,-191
122,212,-65
114,140,82
97,-12,90
26,-68,39
-3,139,69
196,158,-47
183,-34,-112
67,-93,-128
78,-27,-191
95,120,-194
102,216,-36
94,87,108
93,-73,50
11,-73,33
-4,126,70
167,167,-2
211,6,-103
113,-96,-110
80,-88,-128
100,0,-199
93,143,-180
57,211,-59
-30,177,2
-49,156,-93
51,119,-193
106,-14,-189
103,-102,-97
69,-95,-114
37,-4,-205
64,140,-186
107,204,-95
144,185,5
146,101,89
127,-35,71
51,-100,3
-16,45,88
86,200,23
175,150,-122
147,6,-180
72,-85,-144
82,-63,-164
168,148,-149
122,207,-5
64,108,106
69,-34,92
168,6,69
123,156,70
126,208,-50
101,106,-198
100,-21,-199
161,-16,-168
